date,houses (all),houses (3 bed),units (all),units (2 bed),combined
2009/8/1,412,413,324,327,369
2009/8/8,413,415,325,328,369
2009/8/15,413,415,325,328,370
2009/8/22,413,415,325,328,370
2009/9/1,410,415,324,328,368
2009/9/8,412,420,325,327,369
2009/9/15,412,419,325,328,369
2009/9/22,412,419,325,328,369
2009/10/1,411,420,324,328,369
2009/10/8,412,420,324,327,369
2009/10/15,412,419,323,328,368
2009/10/22,411,417,321,327,367
2009/11/1,411,421,321,327,367
2009/11/8,413,420,320,327,368
2009/11/15,416,424,320,327,369
2009/11/22,416,421,321,328,369
2009/12/1,416,420,319,328,368
2009/12/8,418,423,318,327,369
2009/12/15,421,424,319,328,370
2009/12/22,424,426,319,329,372
2010/1/1,426,427,320,330,374
2010/1/8,425,428,320,331,374
2010/1/15,426,430,321,332,374
2010/1/22,429,432,321,333,376
2010/2/1,430,433,322,333,377
2010/2/8,428,433,322,334,376
2010/2/15,426,433,323,335,376
2010/2/22,425,433,325,335,376
2010/3/1,425,432,326,336,376
2010/3/8,425,433,328,337,377
2010/3/15,425,432,329,336,378
2010/3/22,424,431,329,335,377
2010/4/1,425,433,329,335,378
2010/4/8,424,433,330,335,378
2010/4/15,424,432,330,335,378
2010/4/22,426,436,331,336,380
2010/5/1,427,435,333,336,381
2010/5/8,428,435,334,336,382
2010/5/15,430,437,333,338,382
2010/5/22,430,436,334,338,383
2010/6/1,431,436,333,338,383
2010/6/8,430,437,333,338,382
2010/6/15,428,438,333,338,381
2010/6/22,427,437,333,338,381
2010/7/1,426,438,335,339,381
2010/7/8,426,437,336,339,381
2010/7/15,424,437,336,338,381
2010/7/22,423,434,336,338,380
2010/8/1,423,436,337,339,381
2010/8/8,422,434,337,339,380
2010/8/15,423,432,338,339,381
2010/8/22,423,432,338,338,381
2010/9/1,423,430,338,339,381
2010/9/8,422,431,337,338,380
2010/9/15,422,431,336,338,380
2010/9/22,423,431,336,339,380
2010/10/1,423,432,335,338,380
2010/10/8,423,430,334,338,379
2010/10/15,422,429,332,339,378
2010/10/22,421,428,331,338,377
2010/11/1,422,430,330,338,377
2010/11/8,425,430,329,338,378
2010/11/15,425,431,329,339,378
2010/11/22,427,431,329,339,379
2010/12/1,428,432,329,340,379
2010/12/8,428,435,329,340,379
2010/12/15,428,436,329,340,379
2010/12/22,429,437,329,341,380
2011/1/1,429,437,329,344,380
2011/1/8,431,438,329,345,381
2011/1/15,432,439,330,346,382
2011/1/22,434,441,330,347,383
2011/2/1,436,441,331,348,384
2011/2/8,435,440,332,349,385
2011/2/15,435,440,333,349,384
2011/2/22,434,440,333,351,385
2011/3/1,435,442,335,350,386
2011/3/8,435,443,336,350,387
2011/3/15,437,446,338,350,388
2011/3/22,441,449,339,350,390
2011/4/1,444,452,340,351,393
2011/4/8,446,452,340,351,394
2011/4/15,446,451,341,351,394
2011/4/22,445,451,342,351,394
2011/5/1,444,450,342,351,394
2011/5/8,446,450,343,351,395
2011/5/15,448,449,343,351,396
2011/5/22,446,447,344,351,396
2011/6/1,446,447,345,351,397
2011/6/8,445,445,346,352,396
2011/6/15,443,444,346,353,395
2011/6/22,443,445,345,352,395
2011/7/1,443,445,346,352,395
2011/7/8,444,446,347,353,396
2011/7/15,444,447,346,353,396
2011/7/22,442,448,346,352,395
2011/8/1,440,448,346,351,394
2011/8/8,439,447,347,350,394
2011/8/15,437,449,347,351,393
2011/8/22,437,449,347,351,393
2011/9/1,437,448,346,351,392
2011/9/8,440,447,345,352,393
2011/9/15,442,447,345,351,394
2011/9/22,444,449,342,351,394
2011/10/1,444,448,340,349,393
2011/10/8,445,448,339,349,393
2011/10/15,445,447,339,348,393
2011/10/22,446,449,337,347,392
2011/11/1,444,450,337,348,391
2011/11/8,445,450,338,349,392
2011/11/15,446,449,337,350,392
2011/11/22,443,450,335,350,390
2011/12/1,442,451,335,349,389
2011/12/8,443,451,335,349,390
2011/12/15,442,451,335,349,389
2011/12/22,442,451,335,350,390
2012/1/1,442,452,335,349,389
2012/1/8,442,451,335,350,389
2012/1/15,446,453,337,351,393
2012/1/22,449,452,338,351,395
2012/2/1,449,451,339,350,395
2012/2/8,449,453,340,351,395
2012/2/15,452,453,341,350,397
2012/2/22,452,455,343,351,398
2012/3/1,454,455,344,351,400
2012/3/8,454,456,346,352,400
2012/3/15,454,456,346,352,401
2012/3/22,455,456,346,353,401
2012/4/1,454,456,345,353,400
2012/4/8,454,456,344,353,400
2012/4/15,453,457,345,354,400
2012/4/22,453,457,346,354,400
2012/5/1,452,456,346,354,399
2012/5/8,450,455,345,353,398
2012/5/15,449,455,345,352,397
2012/5/22,448,454,344,351,397
2012/6/1,447,452,344,351,396
2012/6/8,446,453,344,351,396
2012/6/15,446,452,344,352,396
2012/6/22,445,449,344,352,395
2012/7/1,444,448,344,352,394
2012/7/8,444,448,345,352,394
2012/7/15,442,447,345,351,394
2012/7/22,443,446,346,351,395
2012/8/1,441,445,345,350,394
2012/8/8,441,446,345,350,393
2012/8/15,441,447,345,350,393
2012/8/22,440,446,343,347,392
2012/9/1,440,446,343,348,391
2012/9/8,441,445,342,348,391
2012/9/15,441,445,341,347,391
2012/9/22,442,445,339,348,391
2012/10/1,443,446,339,347,391
2012/10/8,442,445,339,348,390
2012/10/15,444,447,339,348,391
2012/10/22,445,449,337,348,391
2012/11/1,447,451,336,348,391
2012/11/8,448,452,334,347,391
2012/11/15,450,453,334,347,391
2012/11/22,450,453,333,348,392
2012/12/1,450,453,333,347,391
2012/12/8,448,453,333,348,390
2012/12/15,448,455,332,348,389
2012/12/22,448,455,333,348,390
2013/1/1,448,455,333,350,390
2013/1/8,450,455,335,351,392
2013/1/15,450,452,337,351,393
2013/1/22,452,450,338,352,394
2013/2/1,455,451,339,353,395
2013/2/8,456,453,340,354,397
2013/2/15,456,454,341,354,397
2013/2/22,456,455,341,354,397
2013/3/1,456,456,342,354,397
2013/3/8,455,457,344,354,398
2013/3/15,454,459,345,354,398
2013/3/22,455,459,345,354,398
2013/4/1,458,460,345,355,400
2013/4/8,458,460,345,356,399
2013/4/15,460,460,345,356,401
2013/4/22,460,459,345,356,401
2013/5/1,460,459,345,356,400
2013/5/8,459,459,344,356,399
2013/5/15,456,456,344,356,398
2013/5/22,455,456,345,356,398
2013/6/1,454,455,345,355,397
2013/6/8,452,454,345,356,396
2013/6/15,452,454,345,355,396
2013/6/22,452,455,345,353,396
2013/7/1,451,454,345,353,395
2013/7/8,451,456,345,352,395
2013/7/15,451,456,345,352,395
2013/7/22,452,455,344,352,395
2013/8/1,451,453,344,351,394
2013/8/8,452,455,344,352,395
2013/8/15,451,457,345,352,394
2013/8/22,451,459,345,353,395
2013/9/1,451,460,344,353,394
2013/9/8,452,461,344,354,394
2013/9/15,451,463,343,354,394
2013/9/22,451,462,342,354,393
2013/10/1,452,462,342,354,393
2013/10/8,452,463,342,354,393
2013/10/15,451,461,341,354,392
2013/10/22,450,459,338,354,389
2013/11/1,450,457,336,353,388
2013/11/8,452,458,334,353,388
2013/11/15,453,460,335,354,389
2013/11/22,456,460,336,353,391
2013/12/1,456,458,336,353,390
2013/12/8,456,459,336,354,390
2013/12/15,458,461,335,353,391
2013/12/22,456,462,336,354,390
2014/1/1,456,464,339,357,391
2014/1/8,457,464,342,360,394
2014/1/15,458,466,345,362,396
2014/1/22,459,466,346,365,397
2014/2/1,459,466,348,366,397
2014/2/8,460,466,348,366,398
2014/2/15,461,466,349,367,398
2014/2/22,460,466,350,366,399
2014/3/1,462,468,351,367,399
2014/3/8,462,467,351,367,400
2014/3/15,463,468,354,367,402
2014/3/22,464,469,354,368,402
2014/4/1,464,468,355,368,402
2014/4/8,466,469,355,367,403
2014/4/15,466,470,357,368,404
2014/4/22,464,469,357,368,404
2014/5/1,463,469,357,369,403
2014/5/8,463,470,357,369,402
2014/5/15,463,471,356,369,402
2014/5/22,462,472,356,369,402
2014/6/1,462,470,356,368,401
2014/6/8,460,470,356,369,401
2014/6/15,461,470,356,368,401
2014/6/22,462,470,357,369,402
2014/7/1,464,469,357,369,402
2014/7/8,461,467,356,369,401
2014/7/15,461,469,356,368,401
2014/7/22,461,467,356,368,401
2014/8/1,460,468,357,369,401
2014/8/8,459,468,357,370,400
2014/8/15,458,468,358,370,400
2014/8/22,456,467,358,370,400
2014/9/1,455,467,358,370,399
2014/9/8,456,467,358,369,399
2014/9/15,453,467,358,369,398
2014/9/22,455,468,357,368,398
2014/10/1,457,471,356,368,398
2014/10/8,457,470,355,368,398
2014/10/15,455,469,355,368,397
2014/10/22,454,469,355,368,396
2014/11/1,456,467,355,369,397
2014/11/8,459,466,354,368,398
2014/11/15,461,466,352,368,398
2014/11/22,462,466,351,367,397
2014/12/1,463,467,350,367,397
2014/12/8,462,468,349,367,396
2014/12/15,461,469,348,368,395
2014/12/22,459,470,347,370,394
2015/1/1,463,472,348,370,395
2015/1/8,465,474,349,371,397
2015/1/15,470,478,350,372,399
2015/1/22,473,481,350,374,401
2015/2/1,474,484,351,374,402
2015/2/8,475,484,353,374,403
2015/2/15,476,481,354,374,404
2015/2/22,476,482,356,374,405
2015/3/1,476,483,357,373,406
2015/3/8,478,482,357,373,407
2015/3/15,479,482,359,373,408
2015/3/22,479,483,359,374,408
2015/4/1,479,483,360,374,409
2015/4/8,479,483,361,374,409
2015/4/15,478,478,361,374,409
2015/4/22,479,481,363,374,410
2015/5/1,476,484,363,374,409
2015/5/8,475,484,363,374,409
2015/5/15,476,484,363,375,409
2015/5/22,476,482,363,375,409
2015/6/1,476,481,364,376,409
2015/6/8,476,480,364,376,409
2015/6/15,475,479,363,375,409
2015/6/22,475,477,364,376,409
2015/7/1,475,475,364,375,409
2015/7/8,475,474,364,376,409
2015/7/15,474,475,364,375,409
2015/7/22,475,476,365,375,410
2015/8/1,474,476,364,375,409
2015/8/8,472,476,364,374,408
2015/8/15,470,474,364,374,407
2015/8/22,468,472,364,373,406
2015/9/1,469,472,364,373,407
2015/9/8,469,470,364,374,406
2015/9/15,470,470,364,374,407
2015/9/22,474,475,362,374,408
2015/10/1,476,478,361,374,408
2015/10/8,477,481,360,375,408
2015/10/15,477,482,359,375,407
2015/10/22,476,483,358,376,406
2015/11/1,476,484,358,377,406
2015/11/8,478,484,359,377,407
2015/11/15,477,487,360,378,408
2015/11/22,478,487,360,378,408
2015/12/1,477,487,359,377,407
2015/12/8,478,489,359,377,408
2015/12/15,480,490,360,379,409
2015/12/22,479,490,360,378,409
2016/1/1,475,486,361,380,407
2016/1/8,476,482,363,381,409
2016/1/15,476,481,364,382,410
2016/1/22,477,481,364,382,410
2016/2/1,478,484,366,384,412
2016/2/8,480,485,367,384,413
2016/2/15,478,484,369,383,413
2016/2/22,476,483,370,383,414
2016/3/1,477,485,372,384,415
2016/3/8,477,485,373,383,416
2016/3/15,478,485,373,383,416
2016/3/22,477,484,374,383,416
2016/4/1,478,483,374,383,417
2016/4/8,479,484,375,383,418
2016/4/15,480,484,376,383,419
2016/4/22,480,483,377,383,419
2016/5/1,479,483,378,385,419
2016/5/8,483,485,378,385,421
2016/5/15,484,485,377,385,421
2016/5/22,484,486,378,386,422
2016/6/1,484,486,377,385,421
2016/6/8,484,486,378,384,421
2016/6/15,482,485,377,383,420
2016/6/22,482,485,378,385,421
2016/6/29,482,485,378,385,421
2016/7/1,483,484,379,386,422
2016/7/8,483,486,379,387,422
2016/7/15,482,486,380,387,422
2016/7/22,483,487,380,387,422
2016/8/1,484,486,380,387,423
2016/8/8,485,487,380,387,424
2016/8/15,486,486,380,387,424
2016/8/22,485,484,379,387,423
2016/9/1,484,484,380,387,423
2016/9/8,485,486,379,387,423
2016/9/15,486,487,380,387,424
2016/9/22,486,489,381,388,425
2016/10/1,486,489,380,387,424
2016/10/8,485,487,379,387,423
2016/10/15,487,487,378,389,423
2016/10/22,487,488,376,390,423
2016/11/1,488,489,376,390,423
2016/11/8,488,486,376,390,423
2016/11/15,489,487,374,390,423
2016/11/22,492,488,373,390,423
2016/12/1,494,491,371,389,423
2016/12/8,493,491,372,390,423
2016/12/15,494,493,371,390,423
2016/12/22,496,495,373,390,424
2017/1/1,499,496,374,391,427
2017/1/8,499,498,376,391,428
2017/1/15,500,497,378,392,429
2017/1/22,501,499,379,393,430
2017/2/1,500,498,379,394,430
2017/2/8,501,500,382,396,432
2017/2/15,504,502,384,397,435
2017/2/22,506,504,385,398,437
2017/3/1,508,505,387,399,439
2017/3/8,510,504,388,399,440
2017/3/15,512,506,390,398,442
2017/3/22,513,507,391,400,443
2017/4/1,514,507,393,401,445
